Study_site,Plot,Canopy,Cover,Sampled_distance_or_area,Sampling_method,Method_cover
AltiplanoNorteNoGyp,2,Atriplex_canescens,13.91,50,RN,plot
AltiplanoNorteNoGyp,2,Cylindropuntia_leptocaulis,3.02,50,RN,plot
AltiplanoNorteNoGyp,2,Koeberlinia_spinosa,6.45,50,RN,plot
AltiplanoNorteNoGyp,2,Open,27.18,50,RN,plot
AltiplanoNorteNoGyp,2,Prosopis_glandulosa,40.66,50,RN,plot
AltiplanoNorteNoGyp,2,Sarcomphalus_obtusifolius,29.94,50,RN,plot
AltiplanoNorteNoGyp,3,Flourensia_cernua,16.56,50,RN,plot
AltiplanoNorteNoGyp,3,Larrea_tridentata,55.42,50,RN,plot
AltiplanoNorteNoGyp,3,Open,13.82,50,RN,plot
AltiplanoNorteNoGyp,3,Unidentified,5.28,50,RN,plot
AltiplanoNorteNoGyp,3,Parthenium_incanum,8.92,50,RN,plot
AltiplanoNorteNoGyp,4,Larrea_tridentata,58.67,50,RN,plot
AltiplanoNorteNoGyp,4,Open,28.64,50,RN,plot
AltiplanoNorteNoGyp,4,Unidentified,12.56,50,RN,plot
AltiplanoNorteNoGyp,4,Zaluzania_triloba,0.13,50,RN,plot
AltiplanoNorteNoGyp,5,Flourensia_cernua,2.52,50,RN,plot
AltiplanoNorteNoGyp,5,Larrea_tridentata,72.06,50,RN,plot
AltiplanoNorteNoGyp,5,Unidentified,1.47,50,RN,plot
AltiplanoNorteNoGyp,5,Open,23.95,50,RN,plot
AltiplanoSurGyp,1,Larrea_tridentata,14.6,50,RN,plot
AltiplanoSurGyp,1,Open,10,50,RN,plot
AltiplanoSurGyp,1,Prosopis_laevigata,90,50,RN,plot
AltiplanoSurGyp,1,Yucca_filifera,32,50,RN,plot
AltiplanoSurGyp,2,Larrea_tridentata,0.94,50,RN,plot
AltiplanoSurGyp,2,Open,45.24,50,RN,plot
AltiplanoSurGyp,2,Senna_wislizeni,50.66,50,RN,plot
AltiplanoSurGyp,2,Verbesina_pedunculosa,5.34,50,RN,plot
AltiplanoSurGyp,3,Larrea_tridentata,31.82,50,RN,plot
AltiplanoSurGyp,3,Open,38.69,50,RN,plot
